testfile,bytes,words,unique words,time (ms),n^2,n*m,lg(n*m), (n*m)*lg(n*m)
word.txt,7,1,1,14,1,1,0,0
tiny.txt,238,38,29,10,1444,1102,10,11020
small.txt,20422,2308,233,29,5326864,537764,19,10217516
MetaMorph.txt,141449,22128,2967,64,489648384,65653776,25,1641344400
Species.txt,1292498,174145,8991,260,30326481025,1565737695,30,46972130850
Ulysses.txt,1573079,225598,29127,370,50894457604,6570992946,32,2.10E+11
WarPeace.txt,3226654,480967,17560,402,2.31E+11,8445780520,32,2.70E+11
Bulk.txt,17076724,2378668,97115,2111,5.66E+12,2.31E+11,37,8.55E+12
sapmirussian.txt,5016,456,347,5,207936,158232,17,2689944
japanese.txt,4008,72,39,2,5184,2808,11,30888
